37.71,-122.502,SX-00-00
37.71,-122.489333333,SX-00-01
37.71,-122.476666667,SX-00-02
37.71,-122.464,SX-00-03
37.71,-122.451333333,SX-00-04
37.71,-122.438666667,SX-00-05
37.71,-122.426,SX-00-06
37.71,-122.413333333,SX-00-07
37.71,-122.400666667,SX-00-08
37.71,-122.388,SX-00-09
37.7185,-122.502,SX-01-00
37.7185,-122.489333333,SX-01-01
37.7185,-122.476666667,SX-01-02
37.7185,-122.464,SX-01-03
37.7185,-122.451333333,SX-01-04
37.7185,-122.438666667,SX-01-05
37.7185,-122.426,SX-01-06
37.7185,-122.413333333,SX-01-07
37.7185,-122.400666667,SX-01-08
37.7185,-122.388,SX-01-09
37.727,-122.502,SX-02-00
37.727,-122.489333333,SX-02-01
37.727,-122.476666667,SX-02-02
37.727,-122.464,SX-02-03
37.727,-122.451333333,SX-02-04
37.727,-122.438666667,SX-02-05
37.727,-122.426,SX-02-06
37.727,-122.413333333,SX-02-07
37.727,-122.400666667,SX-02-08
37.727,-122.388,SX-02-09
37.7355,-122.502,SX-03-00
37.7355,-122.489333333,SX-03-01
37.7355,-122.476666667,SX-03-02
37.7355,-122.464,SX-03-03
37.7355,-122.451333333,SX-03-04
37.7355,-122.438666667,SX-03-05
37.7355,-122.426,SX-03-06
37.7355,-122.413333333,SX-03-07
37.7355,-122.400666667,SX-03-08
37.7355,-122.388,SX-03-09
37.744,-122.502,SX-04-00
37.744,-122.489333333,SX-04-01
37.744,-122.476666667,SX-04-02
37.744,-122.464,SX-04-03
37.744,-122.451333333,SX-04-04
37.744,-122.438666667,SX-04-05
37.744,-122.426,SX-04-06
37.744,-122.413333333,SX-04-07
37.744,-122.400666667,SX-04-08
37.744,-122.388,SX-04-09
37.727,-122.378,HP-00-00
37.727,-122.368,HP-00-01
37.751,-122.502,NW-00-00
37.751,-122.493666667,NW-00-01
37.751,-122.485333333,NW-00-02
37.751,-122.477,NW-00-03
37.751,-122.468666667,NW-00-04
37.751,-122.460333333,NW-00-05
37.751,-122.452,NW-00-06
37.76,-122.502,NW-01-00
37.76,-122.493666667,NW-01-01
37.76,-122.485333333,NW-01-02
37.76,-122.477,NW-01-03
37.76,-122.468666667,NW-01-04
37.76,-122.460333333,NW-01-05
37.76,-122.452,NW-01-06
37.769,-122.502,NW-02-00
37.769,-122.493666667,NW-02-01
37.769,-122.485333333,NW-02-02
37.769,-122.477,NW-02-03
37.769,-122.468666667,NW-02-04
37.769,-122.460333333,NW-02-05
37.769,-122.452,NW-02-06
37.778,-122.502,NW-03-00
37.778,-122.493666667,NW-03-01
37.778,-122.485333333,NW-03-02
37.778,-122.477,NW-03-03
37.778,-122.468666667,NW-03-04
37.778,-122.460333333,NW-03-05
37.778,-122.452,NW-03-06
37.787,-122.502,NW-04-00
37.787,-122.493666667,NW-04-01
37.787,-122.485333333,NW-04-02
37.787,-122.477,NW-04-03
37.787,-122.468666667,NW-04-04
37.787,-122.460333333,NW-04-05
37.787,-122.452,NW-04-06
37.796,-122.477,NW-05-03
37.796,-122.468666667,NW-05-04
37.796,-122.460333333,NW-05-05
37.796,-122.452,NW-05-06
37.805,-122.477,NW-06-03
37.805,-122.468666667,NW-06-04
37.805,-122.460333333,NW-06-05
37.805,-122.452,NW-06-06
37.751,-122.445,NE-00-00
37.751,-122.438666667,NE-00-01
37.751,-122.432333333,NE-00-02
37.751,-122.426,NE-00-03
37.751,-122.419666667,NE-00-04
37.751,-122.413333333,NE-00-05
37.751,-122.407,NE-00-06
37.751,-122.400666667,NE-00-07
37.751,-122.394333333,NE-00-08
37.751,-122.388,NE-00-09
37.757,-122.445,NE-01-00
37.757,-122.438666667,NE-01-01
37.757,-122.432333333,NE-01-02
37.757,-122.426,NE-01-03
37.757,-122.419666667,NE-01-04
37.757,-122.413333333,NE-01-05
37.757,-122.407,NE-01-06
37.757,-122.400666667,NE-01-07
37.757,-122.394333333,NE-01-08
37.757,-122.388,NE-01-09
37.763,-122.445,NE-02-00
37.763,-122.438666667,NE-02-01
37.763,-122.432333333,NE-02-02
37.763,-122.426,NE-02-03
37.763,-122.419666667,NE-02-04
37.763,-122.413333333,NE-02-05
37.763,-122.407,NE-02-06
37.763,-122.400666667,NE-02-07
37.763,-122.394333333,NE-02-08
37.763,-122.388,NE-02-09
37.769,-122.445,NE-03-00
37.769,-122.438666667,NE-03-01
37.769,-122.432333333,NE-03-02
37.769,-122.426,NE-03-03
37.769,-122.419666667,NE-03-04
37.769,-122.413333333,NE-03-05
37.769,-122.407,NE-03-06
37.769,-122.400666667,NE-03-07
37.769,-122.394333333,NE-03-08
37.769,-122.388,NE-03-09
37.775,-122.445,NE-04-00
37.775,-122.438666667,NE-04-01
37.775,-122.432333333,NE-04-02
37.775,-122.426,NE-04-03
37.775,-122.419666667,NE-04-04
37.775,-122.413333333,NE-04-05
37.775,-122.407,NE-04-06
37.775,-122.400666667,NE-04-07
37.775,-122.394333333,NE-04-08
37.775,-122.388,NE-04-09
37.781,-122.445,NE-05-00
37.781,-122.438666667,NE-05-01
37.781,-122.432333333,NE-05-02
37.781,-122.426,NE-05-03
37.781,-122.419666667,NE-05-04
37.781,-122.413333333,NE-05-05
37.781,-122.407,NE-05-06
37.781,-122.400666667,NE-05-07
37.781,-122.394333333,NE-05-08
37.781,-122.388,NE-05-09
37.787,-122.445,NE-06-00
37.787,-122.438666667,NE-06-01
